varId,subCategoryId,applies_to_tabs,category,subcategory,section,question,label,dataType,lookupGroupId,associationSpecific
14340,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 7: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 7: Total Boarding,integer,,False
1463,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 7: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 7: Total,integer,,False
14341,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 8: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 8: Day,integer,,False
14342,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 8: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 8: 5-Day Boarding,integer,,False
14343,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 8: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 8: 7-Day Boarding,integer,,False
14344,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 8: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 8: Total Boarding,integer,,False
1464,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 8: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 8: Total,integer,,False
14345,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 9: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 9: Day,integer,,False
14346,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 9: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 9: 5-Day Boarding,integer,,False
14347,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 9: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 9: 7-Day Boarding,integer,,False
14348,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 9: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 9: Total Boarding,integer,,False
1465,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 9: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 9: Total,integer,,False
14349,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 10: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 10: Day,integer,,False
14350,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 10: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 10: 5-Day Boarding,integer,,False
14351,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 10: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 10: 7-Day Boarding,integer,,False
14352,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 10: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 10: Total Boarding,integer,,False
1455,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 10: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 10: Total,integer,,False
14353,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 11: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 11: Day,integer,,False
14354,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 11: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 11: 5-Day Boarding,integer,,False
14355,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 11: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 11: 7-Day Boarding,integer,,False
14356,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 11: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 11: Total Boarding,integer,,False
1456,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 11: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 11: Total,integer,,False
14357,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 12: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 12: Day,integer,,False
14358,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 12: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 12: 5-Day Boarding,integer,,False
14359,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 12: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 12: 7-Day Boarding,integer,,False
14360,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 12: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 12: Total Boarding,integer,,False
1457,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 12: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 12: Total,integer,,False
14361,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Post Graduate: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Post Graduate: Day,integer,,False
